entry	requirements	kind	reference	approver	rationale	expiration	status
MX-001	CONV-001	deviation	deviations.md#1	sasank.vishnubhatla@gmail.com	Module names are flat (`arith`, not `math::arith`) because the compiler rejects dotted module paths (E0320), and no lib.sv0 umbrella exists because sv0 has no `pub use` re-export. Consumers write `use arith::abs_i32;`.	the compiler accepts dotted module paths and `pub use` re-exports (no fixed date)	open
MX-002	ARITH-001 ARITH-008	deviation	deviations.md#3	sasank.vishnubhatla@gmail.com	`_checked` functions return concrete companion enums (`OptionI64`, `OptionU64`, `OptionU32`, `OptionF64`) instead of `Option<T>`, because generic enums are not monomorphized and a shared `Option<T>` would truncate wide payloads. Does not scale past a handful of payload types.	sv0 monomorphizes generic enums (BUGS.md #9; no fixed date)	open
MX-003	-	deviation	deviations.md#4	sasank.vishnubhatla@gmail.com	`sqrt_f64`/`sqrt_checked_f64` live in `lib/trig.sv0`, not `arith`: SPEC.md specifies them fully but assigns no ID or home module, and `hypot_f64` (TRIG-007) needs them directly. A placement decision, not a missing feature.	N/A -- permanent registered placement decision	permanent
MX-004	CPLX-002 CPLX-003	deviation	deviations.md#5	sasank.vishnubhatla@gmail.com	Complex arithmetic is free functions (`add_complex`, `mul_complex`, ...) rather than `impl Add for Complex`, because the compiler does not parse `impl <Trait> for <Type>` at all. Same operations, called explicitly.	the compiler implements `impl Trait for Type` and operator desugaring (no fixed date)	open
MX-005	POLAR-003	deviation	deviations.md#6	sasank.vishnubhatla@gmail.com	`from_polar` returns a `Point2 { x, y }` struct instead of the specified `(f64, f64)` tuple, because the compiler slice rejects multi-element tuples (E0446).	the compiler supports multi-element tuples (no fixed date)	open
MX-006	CPLX-003	deviation	deviations.md#7	sasank.vishnubhatla@gmail.com	`div_checked_complex` returns a `ComplexResult { ok, re, im }` struct instead of `Option<Complex>`: an enum payload slot is a single scalar word, so no enum can hold a whole struct.	enum payload slots can hold a struct (no fixed date)	open
MX-007	TRIG-004	deviation	deviations.md#8	sasank.vishnubhatla@gmail.com	`atan_f64`'s `ensures` is non-strict (`>=`/`<=`) where TRIG-004 says strict: a correctly rounded f64 atan legitimately returns exactly the nearest double to pi/2 for large |x| (confirmed against libm), so a strict bound is unsatisfiable.	N/A -- permanent: the strict form cannot hold for an accurate double implementation	permanent
MX-008	OQ-005	deviation	deviations.md#9	sasank.vishnubhatla@gmail.com	The authoritative reference for the ULP audit is the system libm compared live over the full swept domain, not a checked-in arbitrary-precision table. Resolves SPEC.md Open Question 5; libm's own inaccuracy in `cpow`/`cexp` is documented in accuracy.md.	N/A -- permanent registered resolution of an open question	permanent
MX-009	OQ-002	deviation	deviations.md#10	sasank.vishnubhatla@gmail.com	The library ships as a git submodule of sv0-toolchain driven by `--project`, with its own history and tags, resolving SPEC.md Open Question 2. No `sv0.toml`-rooted convention exists in the toolchain to do otherwise.	N/A -- permanent registered resolution of an open question	permanent
MX-010	EXT-random	beyond-spec	deviations.md#11	sasank.vishnubhatla@gmail.com	`module::random` is not in SPEC.md. It is a deterministic 64-bit LCG for tests and simulation, explicitly not cryptographic, and has no requirement IDs; it is covered by unit tests, oracle-checked golden fixtures on both backends, and the seeded property tests.	N/A -- permanent registered beyond-spec module	permanent
